course_name,instructor,course_description,avg_rating,reviews_count,course_hours,lectures_count,level,price_after_discount,main_price,Bestseller,student_count,
HTML and CSS for Beginners - Build a Website & Launch ONLINE,"Edwin Diaz, Coding Faculty Solutions",HTML and CSS for Beginners  course will give your all the knowledge you need to master HTML and CSS easily and quickly.,4.5,34062,6,49,All,230,720,No,360186,
Mastering Data Structures & Algorithms using C and C++,Abdul Bari,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",4.6,32952,58.5,390,All,320,1300,Yes,129076,
Data Science A-Z™: Real-Life Data Science Exercises Included,"Kirill Eremenko, Ligency I Team, Ligency Team","Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",4.6,32405,21,217,All,270,1300,No,207161,
Python for Beginners: Learn Python Programming (Python 3),Jason Cannon,"Learn Python Programming the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",4.5,32186,3,78,All,270,1300,No,109748,
The Complete ASP.NET MVC 5 Course,Mosh Hamedani,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",4.4,31808,7.5,139,All,320,1400,Yes,124946,
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,Dr. Angela Yu,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,4.3,31615,49.5,475,All,270,1300,No,117942,
"C# Intermediate: Classes, Interfaces and OOP",Mosh Hamedani,"An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",4.5,30521,6,45,Intermediate,270,850,Yes,134221,
Modern JavaScript From The Beginning,Brad Traversy,Learn and build projects with pure JavaScript (No frameworks or libraries),4.7,30158,21.5,122,All,270,1300,No,100165,
Go: The Complete Developer's Guide (Golang),Stephen Grider,Master the fundamentals and advanced features of the Go Programming Language (Golang),4.6,29774,9,83,All,270,630,Yes,121257,
Java Programming for Complete Beginners,in28Minutes Official,Java Programming for Beginners to Java Object Oriented Programming. Core Java + REST API with Spring Boot. Java 8 to 16.,4.5,29533,31,374,Beginner,320,1700,No,179111,
React Native - The Practical Guide [2023],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Use React Native and your React knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux",4.7,29428,28.5,289,All,320,1200,Yes,166078,
Master the Coding Interview: Data Structures + Algorithms,"Andrei Neagoie, Zero To Mastery","Ultimate coding interview bootcamp. Get more job offers, negotiate a raise: Everything you need to get the job you want!",4.7,28512,19.5,262,All,270,1300,Yes,183789,
The Complete Android N Developer Course,"Rob Percival, Marc Stock, Codestars • over 2 million students worldwide!","Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",4.2,28430,32.5,272,All,270,1300,No,155724,
"Machine Learning, Data Science and Deep Learning with Python","Sundog Education by Frank Kane, Frank Kane, Sundog Education Team","Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",4.5,28034,15.5,116,Beginner,230,270,No,169037,
C Programming For Beginners - Master the C Language,"Tim Buchalka's Learn Programming Academy, Jason Fedin",C Programming will increase career options.  Become a better dev in other languages by learning C.   Pointers explained,4.4,27721,24,137,All,270,850,Yes,124369,
Learn and Understand NodeJS,Anthony Alicea,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",4.6,27604,13,97,All,270,1400,No,121448,
Learn JIRA with real-world examples (+Confluence bonus),Kosh Sarkar,"Learn to work on, manage & administer agile projects with this comprehensive course on JIRA Software & Confluence",4.6,27211,11.5,88,All,270,480,Yes,126546,
The Modern Python 3 Bootcamp,Colt Steele,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,4.7,27187,30.5,376,Beginner,320,1600,No,104502,
Relational Database Design,Ben Brumm,Learn how to create an effective relational database design to use in your IT career or even a personal project.,4.3,27137,1.5,32,All,270,480,No,71622,
Rest API Testing (Automation) from Scratch-Rest Assured Java,Rahul Shetty,"""Top Ranked #1 Rest API Test Automation & postman tutorial with Java from Basics to Framework with Real time examples",4.6,26761,26,161,All,270,1300,Yes,119492,
The Complete Angular Course: Beginner to Advanced,Mosh Hamedani,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",4.4,26113,29.5,376,All,270,1300,No,107466,
"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",John Honai,"Learn about CI CD & DevOps & the concepts of Continuous Integration, Continuous Delivery / Deployment, DevOps & pipeline",4.6,25730,1,13,Beginner,270,720,No,68159,
